"Id","Id_P","dateT","weather","MaxTem","MinTem","Wind","WindLevel","UpdateTime"
63,9,"8日（周六）",多云转晴,"37","28℃",西南风 转 西南风,<3级,"2020-08-02 08:20:03"
64,10,"2日（今天）",晴,"33","26℃",南风 转 无持续风向,"3-4级转<3级","2020-08-02 08:20:03"
65,10,"3日（明天）",小雨,"33","26℃",东南风 转 东风,"3-4级转4-5级","2020-08-02 08:20:03"
66,10,"4日（后天）",大雨转中雨,"30","26℃",南风 转 南风,"5-6级转4-5级","2020-08-02 08:20:03"
67,10,"5日（周三）",小雨,"31","26℃",南风 转 无持续风向,"4-5级转<3级","2020-08-02 08:20:03"
68,10,"6日（周四）",多云转小雨,"32","26℃",无持续风向 转 无持续风向,<3级,"2020-08-02 08:20:03"
69,10,"7日（周五）",多云,"32","25℃",南风 转 无持续风向,"3-4级转<3级","2020-08-02 08:20:03"
70,10,"8日（周六）",多云,"32","26℃",南风 转 无持续风向,"3-4级转<3级","2020-08-02 08:20:03"
71,11,"2日（今天）",阴转多云,"35","25℃",南风 转 南风,<3级,"2020-08-02 08:20:03"
72,11,"3日（明天）",晴转多云,"36","26℃",东南风 转 东风,"3-4级转<3级","2020-08-02 08:20:03"
73,11,"4日（后天）",多云,"33","27℃",东风 转 东北风,"3-4级转<3级","2020-08-02 08:20:03"
74,11,"5日（周三）",阴,"34","27℃",南风 转 南风,"3-4级转<3级","2020-08-02 08:20:03"
75,11,"6日（周四）",阴,"31","26℃",西南风 转 南风,<3级,"2020-08-02 08:20:03"
76,11,"7日（周五）",阴,"32","27℃",西南风 转 南风,"3-4级转<3级","2020-08-02 08:20:03"
77,11,"8日（周六）",阴转多云,"32","27℃",西风 转 西南风,"3-4级转<3级","2020-08-02 08:20:03"
155,1,"4日（今天）",多云,"35","27℃",东北风 转 南风,"3-4级转<3级","2020-08-04 02:20:54"
156,1,"5日（明天）",多云,"34","27℃",西南风 转 南风,"3-4级","2020-08-04 02:20:54"
157,1,"6日（后天）",多云,"32","27℃",西南风 转 南风,"3-4级","2020-08-04 02:20:54"
158,1,"7日（周五）",多云转阴,"34","25℃",西南风 转 南风,"3-4级转<3级","2020-08-04 02:20:54"
159,1,"8日（周六）",多云转阴,"34","26℃",西南风 转 西南风,"3-4级转<3级","2020-08-04 02:20:54"
160,1,"9日（周日）",阴转多云,"34","27℃",西南风 转 西南风,"3-4级转<3级","2020-08-04 02:20:54"
161,1,"10日（周一）",多云,"34","26℃",西南风 转 西南风,"3-4级转<3级","2020-08-04 02:20:54"
162,2,"4日（今天）",多云,"36","26℃",北风 转 东北风,<3级,"2020-08-04 02:20:54"
163,2,"5日（明天）",雷阵雨,"32","25℃",东北风 转 西南风,<3级,"2020-08-04 02:20:54"
164,2,"6日（后天）",雷阵雨,"31","23℃",西南风 转 西北风,<3级,"2020-08-04 02:20:54"
165,2,"7日（周五）",阴转雷阵雨,"30","23℃",东风 转 东北风,"3-4级转<3级","2020-08-04 02:20:54"
166,2,"8日（周六）",雷阵雨转多云,"31","24℃",西南风 转 西南风,<3级,"2020-08-04 02:20:54"
167,2,"9日（周日）",多云,"33","25℃",西南风 转 南风,<3级,"2020-08-04 02:20:54"
168,2,"10日（周一）",雷阵雨转多云,"32","23℃",东风 转 北风,<3级,"2020-08-04 02:20:54"
169,3,"4日（今天）",中雨转暴雨,"31","26℃",东南风 转 南风,"6-7级转5-6级","2020-08-04 02:20:54"
170,3,"5日（明天）",小雨转阴,"33","27℃",南风 转 南风,"4-5级转3-4级","2020-08-04 02:20:54"
171,3,"6日（后天）",阴,"35","28℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
172,3,"7日（周五）",阴,"35","28℃",南风 转 南风,<3级转3-4级,"2020-08-04 02:20:54"
173,3,"8日（周六）",小雨转阴,"35","28℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
174,3,"9日（周日）",阴转多云,"37","28℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
175,3,"10日（周一）",多云转晴,"36","28℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
176,4,"4日（今天）",中雨转小到中雨,"32","26℃",南风 转 南风,"6-7级","2020-08-04 02:20:54"
177,4,"5日（明天）",多云转阴,"35","27℃",南风 转 南风,"4-5级转3-4级","2020-08-04 02:20:54"
178,4,"6日（后天）",多云转阴,"37","27℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
179,4,"7日（周五）",阴,"35","27℃",西南风 转 西南风,"4-5级转3-4级","2020-08-04 02:20:54"
180,4,"8日（周六）",阴,"33","27℃",西南风 转 无持续风向,"4-5级转<3级","2020-08-04 02:20:54"
181,4,"9日（周日）",阴转多云,"36","27℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
182,4,"10日（周一）",多云转晴,"37","27℃",无持续风向 转 南风,<3级转3-4级,"2020-08-04 02:20:54"
183,5,"4日（今天）",雷阵雨,"33","24℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
184,5,"5日（明天）",大雨,"30","24℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
185,5,"6日（后天）",中雨转雷阵雨,"31","26℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
186,5,"7日（周五）",雷阵雨,"33","26℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
187,5,"8日（周六）",雷阵雨转多云,"34","27℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
188,5,"9日（周日）",雷阵雨,"34","27℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
189,5,"10日（周一）",雷阵雨,"33","26℃",东南风 转 东南风,"3-4级","2020-08-04 02:20:54"
190,6,"4日（今天）",多云,"36","27℃",南风 转 南风,<3级,"2020-08-04 02:20:54"
191,6,"5日（明天）",晴转多云,"35","27℃",东南风 转 南风,<3级转3-4级,"2020-08-04 02:20:54"
192,6,"6日（后天）",小雨转晴,"34","27℃",南风 转 南风,"3-4级转4-5级","2020-08-04 02:20:54"
193,6,"7日（周五）",晴,"34","27℃",南风 转 南风,"4-5级转3-4级","2020-08-04 02:20:54"
194,6,"8日（周六）",多云转晴,"34","27℃",西南风 转 南风,"4-5级","2020-08-04 02:20:54"
195,6,"9日（周日）",晴,"34","27℃",西南风 转 南风,"3-4级","2020-08-04 02:20:54"
196,6,"10日（周一）",阴,"35","28℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
197,7,"4日（今天）",雷阵雨转阴,"33","26℃",东北风 转 西南风,"4-5级转3-4级","2020-08-04 02:20:54"
198,7,"5日（明天）",雷阵雨转多云,"35","27℃",西北风 转 西南风,"4-5级转3-4级","2020-08-04 02:20:54"
199,7,"6日（后天）",雷阵雨转多云,"33","27℃",西南风 转 西南风,"3-4级","2020-08-04 02:20:54"
200,7,"7日（周五）",雷阵雨,"34","27℃",西南风 转 西南风,<3级,"2020-08-04 02:20:54"
201,7,"8日（周六）",雷阵雨转中雨,"30","25℃",西南风 转 西风,<3级,"2020-08-04 02:20:54"
202,7,"9日（周日）",雷阵雨转阴,"29","25℃",西南风 转 南风,<3级,"2020-08-04 02:20:54"
203,7,"10日（周一）",多云转阴,"34","29℃",西南风 转 南风,<3级,"2020-08-04 02:20:54"
204,8,"4日（今天）",中雨,"30","25℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
205,8,"5日（明天）",暴雨转大雨,"28","25℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
206,8,"6日（后天）",中雨转雷阵雨,"28","25℃",无持续风向 转 无持续风向,<3级,"2020-08-04 02:20:54"
207,8,"7日（周五）",阵雨,"31","28℃",东南风 转 东南风,"3-4级","2020-08-04 02:20:54"
208,8,"8日（周六）",阵雨,"32","28℃",东南风 转 南风,"3-4级","2020-08-04 02:20:54"
209,8,"9日（周日）",阵雨,"32","28℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
210,8,"10日（周一）",阵雨,"32","28℃",南风 转 南风,"3-4级","2020-08-04 02:20:54"
211,9,"4日（今天）",阵雨转中雨,"34","27℃",东南风 转 东南风,"4-5级","2020-08-04 02:20:54"
212,9,"5日（明天）",小雨转多云,"33","28℃",东南风 转 东南风,"4-5级","2020-08-04 02:20:54"
213,9,"6日（后天）",多云,"35","28℃",东南风 转 东南风,"3-4级","2020-08-04 02:20:54"
214,9,"7日（周五）",多云,"36","29℃",东南风 转 东南风,"3-4级","2020-08-04 02:20:54"
215,9,"8日（周六）",阴转多云,"36","29℃",东南风 转 东南风,"3-4级","2020-08-04 02:20:54"
216,9,"9日（周日）",多云,"36","30℃",东南风 转 东南风,"3-4级","2020-08-04 02:20:54"
217,9,"10日（周一）",多云,"36","29℃",东南风 转 东南风,"3-4级","2020-08-04 02:20:54"
218,10,"4日（今天）",中雨,"31","25℃",南风 转 南风,"5-6级转4-5级","2020-08-04 02:20:54"
219,10,"5日（明天）",小雨转多云,"30","25℃",南风 转 无持续风向,"4-5级转<3级","2020-08-04 02:20:54"
220,10,"6日（后天）",多云,"32","26℃",南风 转 无持续风向,"3-4级转<3级","2020-08-04 02:20:54"
221,10,"7日（周五）",小雨转多云,"33","26℃",南风 转 无持续风向,"4-5级转<3级","2020-08-04 02:20:54"
222,10,"8日（周六）",多云,"33","26℃",南风 转 无持续风向,"3-4级转<3级","2020-08-04 02:20:54"
223,10,"9日（周日）",多云,"33","26℃",南风 转 无持续风向,"4-5级转<3级","2020-08-04 02:20:54"
224,10,"10日（周一）",中雨转小雨,"32","26℃",南风 转 无持续风向,"4-5级转<3级","2020-08-04 02:20:54"
225,11,"4日（今天）",多云,"33","25℃",东北风 转 东北风,"3-4级转<3级","2020-08-04 02:20:54"
226,11,"5日（明天）",多云,"35","26℃",西风 转 西南风,<3级,"2020-08-04 02:20:54"
227,11,"6日（后天）",小雨,"34","27℃",东南风 转 西南风,<3级,"2020-08-04 02:20:54"
228,11,"7日（周五）",小雨转阴,"34","26℃",南风 转 南风,<3级,"2020-08-04 02:20:54"
229,11,"8日（周六）",阴转小雨,"33","25℃",南风 转 南风,<3级,"2020-08-04 02:20:54"
230,11,"9日（周日）",小雨,"34","24℃",西南风 转 西南风,<3级,"2020-08-04 02:20:54"
231,11,"10日（周一）",多云转阴,"35","26℃",南风 转 南风,"3-4级转<3级","2020-08-04 02:20:54"
